uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
AL,PNEUMONIA,DOMICILIO,"< 9",F,3
AL,PNEUMONIA,DOMICILIO,"< 9",M,1
AL,PNEUMONIA,HOSPITAL,"< 9",F,33
AL,PNEUMONIA,HOSPITAL,"< 9",M,37
AL,PNEUMONIA,IGNORADO,"< 9",M,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AL,SEPTICEMIA,DOMICILIO,"< 9",F,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,109
AL,SEPTICEMIA,HOSPITAL,"< 9",I,1
AL,SEPTICEMIA,HOSPITAL,"< 9",M,115
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,SRAG,HOSPITAL,"< 9",F,4
AL,SRAG,HOSPITAL,"< 9",M,7
AM,OUTRAS,DOMICILIO,"< 9",F,42
AM,OUTRAS,DOMICILIO,"< 9",M,62
AM,OUTRAS,HOSPITAL,"< 9",F,332
AM,OUTRAS,HOSPITAL,"< 9",I,10
AM,OUTRAS,HOSPITAL,"< 9",M,415
AM,OUTRAS,IGNORADO,"< 9",M,4
AM,OUTRAS,OUTRO,"< 9",F,38
AM,OUTRAS,OUTRO,"< 9",M,57
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,9
AM,OUTRAS,VIA_PUBLICA,"< 9",F,3
AM,COVID,HOSPITAL,"< 9",F,6
AM,COVID,HOSPITAL,"< 9",M,3
AM,COVID,OUTRO,"< 9",F,1
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INDETERMINADA,DOMICILIO,"< 9",M,2
AM,INDETERMINADA,HOSPITAL,"< 9",F,1
AM,INDETERMINADA,HOSPITAL,"< 9",M,1
AM,INDETERMINADA,OUTRO,"< 9",F,1
AM,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,40
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,54
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,3
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,6
AM,PNEUMONIA,DOMICILIO,"< 9",F,5
AM,PNEUMONIA,DOMICILIO,"< 9",M,9
AM,PNEUMONIA,HOSPITAL,"< 9",F,99
AM,PNEUMONIA,HOSPITAL,"< 9",M,100
AM,PNEUMONIA,IGNORADO,"< 9",F,1
AM,PNEUMONIA,OUTRO,"< 9",F,9
AM,PNEUMONIA,OUTRO,"< 9",M,5
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,SEPTICEMIA,DOMICILIO,"< 9",F,2
AM,SEPTICEMIA,DOMICILIO,"< 9",M,5
AM,SEPTICEMIA,HOSPITAL,"< 9",F,151
AM,SEPTICEMIA,HOSPITAL,"< 9",I,1
AM,SEPTICEMIA,HOSPITAL,"< 9",M,199
AM,SEPTICEMIA,OUTRO,"< 9",F,9
AM,SEPTICEMIA,OUTRO,"< 9",M,9
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
AM,SRAG,DOMICILIO,"< 9",F,1
AM,SRAG,HOSPITAL,"< 9",F,12
AM,SRAG,HOSPITAL,"< 9",M,13
AM,SRAG,OUTRO,"< 9",M,1
AM,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AP,OUTRAS,DOMICILIO,"< 9",F,2
AP,OUTRAS,DOMICILIO,"< 9",M,2
AP,OUTRAS,HOSPITAL,"< 9",F,38
AP,OUTRAS,HOSPITAL,"< 9",M,70
AP,OUTRAS,IGNORADO,"< 9",F,1
AP,OUTRAS,OUTRO,"< 9",M,4
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,3
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AP,OUTRAS,VIA_PUBLICA,"< 9",M,1
AP,COVID,HOSPITAL,"< 9",M,1
AP,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AP,INDETERMINADA,DOMICILIO,"< 9",F,1
AP,INDETERMINADA,HOSPITAL,"< 9",M,2
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,11
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,8
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AP,PNEUMONIA,DOMICILIO,"< 9",M,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,23
AP,PNEUMONIA,HOSPITAL,"< 9",M,27
AP,SEPTICEMIA,HOSPITAL,"< 9",F,17
AP,SEPTICEMIA,HOSPITAL,"< 9",M,28
AP,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AP,SRAG,HOSPITAL,"< 9",F,3
AP,SRAG,HOSPITAL,"< 9",M,2
BA,OUTRAS,DOMICILIO,"< 9",F,48
BA,OUTRAS,DOMICILIO,"< 9",I,1
BA,OUTRAS,DOMICILIO,"< 9",M,52
BA,OUTRAS,HOSPITAL,"< 9",F,774
BA,OUTRAS,HOSPITAL,"< 9",I,38
BA,OUTRAS,HOSPITAL,"< 9",M,884
BA,OUTRAS,IGNORADO,"< 9",F,1
BA,OUTRAS,IGNORADO,"< 9",M,2
BA,OUTRAS,OUTRO,"< 9",F,13
BA,OUTRAS,OUTRO,"< 9",M,17
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,22
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,27
BA,OUTRAS,VIA_PUBLICA,"< 9",F,6
BA,OUTRAS,VIA_PUBLICA,"< 9",M,10
BA,COVID,HOSPITAL,"< 9",F,4
BA,COVID,HOSPITAL,"< 9",M,3
BA,INDETERMINADA,DOMICILIO,"< 9",F,1
BA,INDETERMINADA,HOSPITAL,"< 9",F,3
BA,INDETERMINADA,HOSPITAL,"< 9",I,1
BA,INDETERMINADA,HOSPITAL,"< 9",M,3
BA,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,6
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,7
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,183
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,3
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,222
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,2
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,4
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,8
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,9
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
BA,PNEUMONIA,DOMICILIO,"< 9",M,1
BA,PNEUMONIA,HOSPITAL,"< 9",F,93
BA,PNEUMONIA,HOSPITAL,"< 9",I,1
BA,PNEUMONIA,HOSPITAL,"< 9",M,104
BA,PNEUMONIA,IGNORADO,"< 9",F,1
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
BA,PNEUMONIA,VIA_PUBLICA,"< 9",M,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,310
BA,SEPTICEMIA,HOSPITAL,"< 9",M,317
BA,SEPTICEMIA,IGNORADO,"< 9",M,1
BA,SEPTICEMIA,OUTRO,"< 9",F,3
BA,SEPTICEMIA,OUTRO,"< 9",M,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
BA,SRAG,HOSPITAL,"< 9",F,16
BA,SRAG,HOSPITAL,"< 9",M,16
BA,SRAG,OUTRO,"< 9",F,1
CE,OUTRAS,AMBULANCIA,"< 9",F,3
CE,OUTRAS,AMBULANCIA,"< 9",M,1
CE,OUTRAS,DOMICILIO,"< 9",F,18
CE,OUTRAS,DOMICILIO,"< 9",I,1
CE,OUTRAS,DOMICILIO,"< 9",M,32
CE,OUTRAS,HOSPITAL,"< 9",F,479
CE,OUTRAS,HOSPITAL,"< 9",I,35
CE,OUTRAS,HOSPITAL,"< 9",M,595
CE,OUTRAS,IGNORADO,"< 9",F,4
CE,OUTRAS,IGNORADO,"< 9",M,2
CE,OUTRAS,OUTRO,"< 9",F,6
CE,OUTRAS,OUTRO,"< 9",M,6
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",I,1
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,13
CE,OUTRAS,VIA_PUBLICA,"< 9",F,4
CE,OUTRAS,VIA_PUBLICA,"< 9",I,1
CE,OUTRAS,VIA_PUBLICA,"< 9",M,2
CE,COVID,HOSPITAL,"< 9",F,5
CE,COVID,HOSPITAL,"< 9",M,4
CE,INDETERMINADA,DOMICILIO,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,4
CE,INDETERMINADA,HOSPITAL,"< 9",I,1
CE,INDETERMINADA,HOSPITAL,"< 9",M,2
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,64
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,3
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,54
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",I,1
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
CE,PNEUMONIA,AMBULANCIA,"< 9",M,1
CE,PNEUMONIA,DOMICILIO,"< 9",F,2
CE,PNEUMONIA,DOMICILIO,"< 9",M,1
CE,PNEUMONIA,HOSPITAL,"< 9",F,75
CE,PNEUMONIA,HOSPITAL,"< 9",I,1
CE,PNEUMONIA,HOSPITAL,"< 9",M,85
CE,PNEUMONIA,IGNORADO,"< 9",M,1
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
CE,SEPTICEMIA,AMBULANCIA,"< 9",M,1
CE,SEPTICEMIA,DOMICILIO,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,152
CE,SEPTICEMIA,HOSPITAL,"< 9",M,198
CE,SEPTICEMIA,IGNORADO,"< 9",F,2
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,7
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
CE,SRAG,DOMICILIO,"< 9",M,1
CE,SRAG,HOSPITAL,"< 9",F,5
CE,SRAG,HOSPITAL,"< 9",M,9
DF,OUTRAS,DOMICILIO,"< 9",F,10
DF,OUTRAS,DOMICILIO,"< 9",M,11
DF,OUTRAS,HOSPITAL,"< 9",F,167
DF,OUTRAS,HOSPITAL,"< 9",M,199
DF,OUTRAS,IGNORADO,"< 9",F,12
DF,OUTRAS,IGNORADO,"< 9",M,7
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
DF,COVID,HOSPITAL,"< 9",M,4
DF,COVID,IGNORADO,"< 9",M,1
DF,INDETERMINADA,HOSPITAL,"< 9",F,3
DF,INDETERMINADA,HOSPITAL,"< 9",M,4
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,40
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,38
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
DF,PNEUMONIA,DOMICILIO,"< 9",F,2
DF,PNEUMONIA,HOSPITAL,"< 9",F,23
DF,PNEUMONIA,HOSPITAL,"< 9",M,27
DF,SEPTICEMIA,HOSPITAL,"< 9",F,65
DF,SEPTICEMIA,HOSPITAL,"< 9",M,81
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
DF,SRAG,HOSPITAL,"< 9",F,5
DF,SRAG,HOSPITAL,"< 9",M,6
ES,OUTRAS,DOMICILIO,"< 9",F,1
ES,OUTRAS,DOMICILIO,"< 9",M,8
ES,OUTRAS,HOSPITAL,"< 9",F,156
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,165
ES,OUTRAS,IGNORADO,"< 9",M,1
ES,OUTRAS,OUTRO,"< 9",F,2
ES,OUTRAS,OUTRO,"< 9",M,6
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,17
ES,OUTRAS,VIA_PUBLICA,"< 9",F,3
ES,OUTRAS,VIA_PUBLICA,"< 9",M,3
ES,COVID,HOSPITAL,"< 9",F,1
ES,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,6
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,13
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,23
ES,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
ES,PNEUMONIA,DOMICILIO,"< 9",F,3
ES,PNEUMONIA,DOMICILIO,"< 9",M,4
ES,PNEUMONIA,HOSPITAL,"< 9",F,53
ES,PNEUMONIA,HOSPITAL,"< 9",M,36
ES,PNEUMONIA,OUTRO,"< 9",M,2
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
ES,SEPTICEMIA,DOMICILIO,"< 9",F,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,89
ES,SEPTICEMIA,HOSPITAL,"< 9",I,1
ES,SEPTICEMIA,HOSPITAL,"< 9",M,119
ES,SRAG,HOSPITAL,"< 9",F,2
ES,SRAG,HOSPITAL,"< 9",M,1
ES,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,OUTRAS,DOMICILIO,"< 9",F,14
GO,OUTRAS,DOMICILIO,"< 9",M,20
GO,OUTRAS,HOSPITAL,"< 9",F,189
GO,OUTRAS,HOSPITAL,"< 9",I,1
GO,OUTRAS,HOSPITAL,"< 9",M,247
GO,OUTRAS,IGNORADO,"< 9",F,4
GO,OUTRAS,IGNORADO,"< 9",M,4
GO,OUTRAS,OUTRO,"< 9",F,6
GO,OUTRAS,OUTRO,"< 9",M,6
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,23
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,28
GO,OUTRAS,VIA_PUBLICA,"< 9",F,3
GO,COVID,DOMICILIO,"< 9",F,1
GO,COVID,HOSPITAL,"< 9",F,4
GO,COVID,HOSPITAL,"< 9",M,2
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INDETERMINADA,HOSPITAL,"< 9",F,1
GO,INDETERMINADA,HOSPITAL,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,4
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,58
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,76
GO,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,3
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,14
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,10
GO,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
GO,PNEUMONIA,DOMICILIO,"< 9",F,2
GO,PNEUMONIA,DOMICILIO,"< 9",M,2
GO,PNEUMONIA,HOSPITAL,"< 9",F,36
GO,PNEUMONIA,HOSPITAL,"< 9",M,48
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,OUTRO,"< 9",M,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,7
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
GO,SEPTICEMIA,DOMICILIO,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,95
GO,SEPTICEMIA,HOSPITAL,"< 9",M,133
GO,SEPTICEMIA,IGNORADO,"< 9",F,1
GO,SEPTICEMIA,IGNORADO,"< 9",M,1
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,9
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
GO,SRAG,HOSPITAL,"< 9",F,5
GO,SRAG,HOSPITAL,"< 9",M,8
GO,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,OUTRAS,AMBULANCIA,"< 9",F,3
MA,OUTRAS,DOMICILIO,"< 9",F,29
MA,OUTRAS,DOMICILIO,"< 9",M,35
MA,OUTRAS,HOSPITAL,"< 9",F,322
MA,OUTRAS,HOSPITAL,"< 9",I,7
MA,OUTRAS,HOSPITAL,"< 9",M,377
MA,OUTRAS,IGNORADO,"< 9",F,1
MA,OUTRAS,IGNORADO,"< 9",M,1
MA,OUTRAS,OUTRO,"< 9",F,13
MA,OUTRAS,OUTRO,"< 9",M,20
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
MA,OUTRAS,VIA_PUBLICA,"< 9",F,3
MA,OUTRAS,VIA_PUBLICA,"< 9",M,8
MA,COVID,HOSPITAL,"< 9",F,1
MA,COVID,HOSPITAL,"< 9",M,2
MA,INDETERMINADA,DOMICILIO,"< 9",F,1
MA,INDETERMINADA,DOMICILIO,"< 9",M,2
MA,INDETERMINADA,HOSPITAL,"< 9",F,2
MA,INDETERMINADA,HOSPITAL,"< 9",M,2
MA,INDETERMINADA,OUTRO,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,AMBULANCIA,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,7
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,37
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,51
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,3
MA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
MA,PNEUMONIA,DOMICILIO,"< 9",F,4
MA,PNEUMONIA,DOMICILIO,"< 9",M,4
MA,PNEUMONIA,HOSPITAL,"< 9",F,43
MA,PNEUMONIA,HOSPITAL,"< 9",M,53
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MA,PNEUMONIA,VIA_PUBLICA,"< 9",F,1
MA,SEPTICEMIA,AMBULANCIA,"< 9",F,1
MA,SEPTICEMIA,AMBULANCIA,"< 9",M,1
MA,SEPTICEMIA,DOMICILIO,"< 9",F,1
MA,SEPTICEMIA,DOMICILIO,"< 9",M,2
MA,SEPTICEMIA,HOSPITAL,"< 9",F,106
MA,SEPTICEMIA,HOSPITAL,"< 9",M,102
MA,SEPTICEMIA,OUTRO,"< 9",F,1
MA,SEPTICEMIA,OUTRO,"< 9",M,2
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SRAG,HOSPITAL,"< 9",F,9
MA,SRAG,HOSPITAL,"< 9",M,5
MG,OUTRAS,DOMICILIO,"< 9",F,39
MG,OUTRAS,DOMICILIO,"< 9",M,59
MG,OUTRAS,HOSPITAL,"< 9",F,807
MG,OUTRAS,HOSPITAL,"< 9",I,9
MG,OUTRAS,HOSPITAL,"< 9",M,948
MG,OUTRAS,IGNORADO,"< 9",F,9
MG,OUTRAS,IGNORADO,"< 9",I,6
MG,OUTRAS,IGNORADO,"< 9",M,14
MG,OUTRAS,OUTRO,"< 9",F,14
MG,OUTRAS,OUTRO,"< 9",M,12
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,31
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,38
MG,OUTRAS,VIA_PUBLICA,"< 9",F,1
MG,OUTRAS,VIA_PUBLICA,"< 9",M,4
MG,COVID,HOSPITAL,"< 9",F,4
MG,COVID,HOSPITAL,"< 9",M,8
MG,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,DOMICILIO,"< 9",F,2
MG,INDETERMINADA,DOMICILIO,"< 9",M,4
MG,INDETERMINADA,HOSPITAL,"< 9",F,9
MG,INDETERMINADA,HOSPITAL,"< 9",M,17
MG,INDETERMINADA,IGNORADO,"< 9",M,1
MG,INDETERMINADA,OUTRO,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,4
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,10
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,153
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,179
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",I,2
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,4
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,8
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
MG,PNEUMONIA,DOMICILIO,"< 9",F,3
MG,PNEUMONIA,DOMICILIO,"< 9",M,1
